global_epoch,stage_idx,stage,stage_epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,mean_text_weight,mean_image_weight,text_lr,vision_lr,projection_lr,gate_lr,classifier_lr
1,0,stage1_head_only,1,1.389001066100855,0.7335276452923511,0.701479217679873,1.1677783214984163,0.8058761186999529,0.7886372189167786,0.6583696603775024,0.34163036942481995,0.0,0.0,0.0005,0.0005,0.0005
2,0,stage1_head_only,2,1.1483637795097057,0.8231613966908085,0.8127043057898358,1.1518459851821525,0.8116462552991051,0.7949858749645664,0.6331068873405457,0.36689311265945435,0.0,0.0,0.0005,0.0005,0.0005
3,0,stage1_head_only,3,1.1956305362475899,0.8022728610963905,0.7866920019184179,1.1060408614347748,0.8268370230805464,0.8169565379442298,0.5819659233093262,0.4180341064929962,0.0,0.0,0.0005,0.0005,0.0005
4,1,stage2_partial_unfreeze,1,1.0722999438193341,0.8449037272566684,0.8366333176308767,1.0290804952032095,0.855098916627414,0.8449704473440455,0.540659487247467,0.4593404531478882,2e-06,2e-06,0.0001,0.0001,0.0001
5,1,stage2_partial_unfreeze,2,1.016976960063479,0.8666460578225285,0.8612646705563671,1.006947081099127,0.8636363636363636,0.8526066044590718,0.530745267868042,0.46925467252731323,2e-06,2e-06,0.0001,0.0001,0.0001
6,1,stage2_partial_unfreeze,3,0.9756789411791207,0.8825148678089855,0.8757874343630029,0.9899789913611428,0.8702308054639661,0.859645557673873,0.5175009965896606,0.48249897360801697,2e-06,2e-06,0.0001,0.0001,0.0001
7,1,stage2_partial_unfreeze,4,0.9413039873536804,0.8981628687511041,0.8919638443090435,0.9820378656045929,0.8719971738106453,0.8606022487053734,0.4858918786048889,0.5141081213951111,2e-06,2e-06,0.0001,0.0001,0.0001
8,2,stage3_full_unfreeze,1,0.9044800296321407,0.9119855149266914,0.908124443088713,0.9625704911762513,0.881888836552049,0.8722219867297762,0.48958301544189453,0.5104169845581055,1e-06,1e-06,5e-05,5e-05,5e-05
9,2,stage3_full_unfreeze,2,0.8686231229089493,0.92878172289937,0.9250854781247568,0.960028807537431,0.884185115402732,0.8740628798504873,0.4864312708377838,0.5135686993598938,1e-06,1e-06,5e-05,5e-05,5e-05
10,2,stage3_full_unfreeze,3,0.8432569227362945,0.9394099982335277,0.9366219762694696,0.9535901235961375,0.8848916627414036,0.8728439375379159,0.4706781506538391,0.5293218493461609,1e-06,1e-06,5e-05,5e-05,5e-05
11,2,stage3_full_unfreeze,4,0.8152019352849167,0.9524524524524525,0.9507497942223031,0.951269166681826,0.889543099387659,0.8791543068965016,0.47747933864593506,0.5225206017494202,1e-06,1e-06,5e-05,5e-05,5e-05
12,2,stage3_full_unfreeze,5,0.7953292187508401,0.9602249308131661,0.9578094534867803,0.9513624991328437,0.8896019783325483,0.8776759170838363,0.4822135269641876,0.5177865028381348,1e-06,1e-06,5e-05,5e-05,5e-05
13,2,stage3_full_unfreeze,6,0.7772336651767472,0.9684095860566448,0.9663689881136172,0.9552239662512708,0.8898374941121056,0.8789570637016937,0.46018582582473755,0.5398142337799072,1e-06,1e-06,5e-05,5e-05,5e-05
14,2,stage3_full_unfreeze,7,0.7595733068705742,0.9763734322557852,0.9752238662713668,0.9550445781695186,0.8917216203485634,0.8801517691476191,0.46297094225883484,0.537028968334198,1e-06,1e-06,5e-05,5e-05,5e-05
15,2,stage3_full_unfreeze,8,0.7450932301951614,0.981834775952423,0.9807926553203953,0.9553303943172244,0.8911917098445595,0.8799102727865324,0.461508184671402,0.5384918451309204,1e-06,1e-06,5e-05,5e-05,5e-05
